SpeciesNum,SampleID,Beta,Gamma,CollapseTP,RecoveryTP,RelativeHysteresis
2,22,0.8,0.3,0.07142285,0.034629259,10.220441
2,23,0.8,0.3,0.0808016,0.018757515,17.234469
2,24,0.8,0.3,0.11543086,0.023086172,25.651303
2,25,0.8,0.3,0.1111022,0.020921844,25.0501
2,26,0.8,0.3,0.08224449,0.03246493,13.827655
2,27,0.8,0.3,0.09667335,0.018036072,21.843687
2,28,0.8,0.3,0.06925852,0.034629259,9.619238
2,29,0.8,0.3,0.07863727,0.015871743,17.43487
2,30,0.8,0.3,0.09234469,0.019478958,20.240481
2,31,0.8,0.3,0.11975952,0.022364729,27.054108
2,32,0.8,0.3,0.06781563,0.02741483,11.222445
2,33,0.8,0.3,0.04112224,0.012264529,8.016032
2,34,0.8,0.3,0.13274549,0.024529058,30.06012
2,35,0.8,0.3,0.06709419,0.016593186,14.028056
2,36,0.8,0.3,0.07503006,0.014428858,16.833667
2,37,0.8,0.3,0.07647295,0.014428858,17.234469
2,38,0.8,0.3,0.06853707,0.030300601,10.621242
2,39,0.8,0.3,0.09378758,0.023807615,19.438878
2,40,0.8,0.3,0.05771543,0.010821643,13.026052
2,41,0.8,0.3,0.06925852,0.023807615,12.625251
2,42,0.8,0.3,0.08224449,0.03246493,13.827655
2,43,0.8,0.3,0.14573146,0.026693387,33.066132
2,44,0.8,0.3,0.06276553,0.012264529,14.028056
2,45,0.8,0.3,0.07935872,0.023086172,15.631263
2,46,0.8,0.3,0.08945892,0.016593186,20.240481
2,47,0.8,0.3,0.06637275,0.022364729,12.224449
2,48,0.8,0.3,0.0606012,0.012264529,13.426854
2,49,0.8,0.3,0.08513026,0.022364729,17.43487
2,50,0.8,0.3,0.06925852,0.018036072,14.228457
2,51,0.8,0.3,0.08224449,0.022364729,16.633267
2,52,0.8,0.3,0.08657315,0.024529058,17.234469
2,53,0.8,0.3,0.0757515,0.020921844,15.230461
2,54,0.8,0.3,0.09883768,0.019478958,22.044088
2,55,0.8,0.3,0.05627255,0.0101002,12.825651
2,56,0.8,0.3,0.0808016,0.018757515,17.234469
2,57,0.8,0.3,0.10965932,0.025250501,23.446894
2,58,0.8,0.3,0.06853707,0.015150301,14.829659
2,59,0.8,0.3,0.06276553,0.015871743,13.026052
2,60,0.8,0.3,0.06781563,0.02741483,11.222445
2,61,0.8,0.3,0.07358717,0.033907816,11.022044
2,62,0.8,0.3,0.0656513,0.02741483,10.621242
2,63,0.8,0.3,0.03246493,0.009378758,6.412826
2,64,0.8,0.3,0.06781563,0.012985972,15.230461
2,65,0.8,0.3,0.10172345,0.019478958,22.845691
2,66,0.8,0.3,0.06781563,0.02741483,11.222445
2,67,0.8,0.3,0.07719439,0.015871743,17.034068
2,68,0.8,0.3,0.04905812,0.0101002,10.821643
2,69,0.8,0.3,0.11687375,0.028136273,24.649299
2,70,0.8,0.3,0.07863727,0.028857715,13.827655
2,71,0.8,0.3,0.07286573,0.029579158,12.024048
2,72,0.8,0.3,0.06420842,0.020200401,12.224449
2,73,0.8,0.3,0.07214429,0.013707415,16.232465
2,74,0.8,0.3,0.07214429,0.014428858,16.032064
2,75,0.8,0.3,0.0707014,0.030300601,11.222445
2,76,0.8,0.3,0.06709419,0.035350701,8.817635
2,77,0.8,0.3,0.06637275,0.012264529,15.03006
2,78,0.8,0.3,0.12625251,0.025250501,28.056112
2,79,0.8,0.3,0.0606012,0.012264529,13.426854
2,80,0.8,0.3,0.09523046,0.018036072,21.442886
2,81,0.8,0.3,0.06997996,0.013707415,15.631263
