"X","Y","Type","Class"
119.708333333333,-27.125,1,"1"
-59.0416666666667,-26.9583333333333,1,"2"
-58.625,-26.9583333333333,1,"2"
-58.375,-26.9583333333333,1,"2"
152.625,-26.9583333333333,1,"1"
21.0416666666667,-26.875,1,"2"
-58.0416666666667,-26.7083333333333,1,"2"
-66.4583333333333,-26.625,1,"2"
118.791666666667,-26.625,1,"1"
30.7916666666667,-26.5416666666667,1,"1"
119.041666666667,-26.5416666666667,1,"1"
-59.875,-26.4583333333333,1,"1"
-51.7083333333333,-26.4583333333333,1,"2"
-61.125,-26.375,1,"1"
-51.9583333333333,-26.375,1,"2"
27.375,-26.375,1,"1"
119.125,-26.2916666666667,1,"1"
32.0416666666667,-26.125,1,"2"
-61.625,-26.0416666666667,1,"1"
-60.9583333333333,-26.0416666666667,1,"1"
-63.375,-25.9583333333333,1,"1"
128.208333333333,-25.9583333333333,1,"1"
-57.125,-25.7916666666667,1,"2"
31.5416666666667,-25.625,1,"2"
-61.5416666666667,-25.5416666666667,1,"1"
-61.4583333333333,-25.5416666666667,1,"1"
-61.375,-25.5416666666667,1,"1"
-57.2083333333333,-25.5416666666667,1,"2"
30.9583333333333,-25.5416666666667,1,"2"
-61.5416666666667,-25.4583333333333,1,"1"
-66.375,-25.375,1,"2"
-60.0416666666667,-25.375,1,"1"
-61.2916666666667,-25.2916666666667,1,"1"
-60.0416666666667,-25.2916666666667,1,"1"
-61.9583333333333,-25.125,1,"1"
27.875,-25.125,1,"1"
-63.7083333333333,-25.0416666666667,1,"1"
-62.875,-25.0416666666667,1,"1"
-60.5416666666667,-24.9583333333333,1,"1"
-60.7083333333333,-24.875,1,"1"
-63.2916666666667,-24.7916666666667,1,"1"
-63.5416666666667,-24.7083333333333,1,"1"
-58.125,-24.7083333333333,1,"2"
27.7083333333333,-24.7083333333333,1,"1"
-63.5416666666667,-24.625,1,"1"
-63.4583333333333,-24.625,1,"1"
-61.7083333333333,-24.625,1,"1"
-60.0416666666667,-24.625,1,"1"
-63.5416666666667,-24.4583333333333,1,"1"
-60.125,-24.4583333333333,1,"1"
148.125,-24.4583333333333,1,"1"
-63.625,-24.375,1,"1"
-59.375,-24.375,1,"1"
125.875,-24.375,1,"1"
-60.2916666666667,-24.2083333333333,1,"1"
-63.625,-24.125,1,"1"
-60.4583333333333,-24.125,1,"1"
-60.2916666666667,-24.125,1,"1"
-63.7083333333333,-24.0416666666667,1,"1"
-64.5416666666667,-23.875,1,"1"
-49.375,-23.875,1,"2"
32.5416666666667,-23.875,1,"1"
32.375,-23.7916666666667,1,"1"
-60.0416666666667,-23.7083333333333,1,"1"
-49.7916666666667,-23.7083333333333,1,"2"
24.9583333333333,-23.7083333333333,1,"1"
32.2916666666667,-23.7083333333333,1,"1"
21.2083333333333,-23.625,1,"2"
31.9583333333333,-23.625,1,"1"
32.2916666666667,-23.625,1,"1"
32.375,-23.625,1,"1"
46.2916666666667,-23.625,1,"1"
31.875,-23.5416666666667,1,"1"
32.4583333333333,-23.5416666666667,1,"1"
-63.2083333333333,-23.4583333333333,1,"1"
31.7916666666667,-23.4583333333333,1,"1"
-60.0416666666667,-23.375,1,"1"
23.2083333333333,-23.375,1,"1"
32.2916666666667,-23.375,1,"1"
-59.2916666666667,-23.2916666666667,1,"1"
-55.0416666666667,-23.2916666666667,1,"2"
31.7916666666667,-23.2916666666667,1,"1"
-62.0416666666667,-23.2083333333333,1,"1"
-60.875,-23.2083333333333,1,"1"
-60.7916666666667,-23.2083333333333,1,"1"
-60.7083333333333,-23.2083333333333,1,"1"
32.7083333333333,-23.2083333333333,1,"1"
18.625,-23.125,1,"2"
31.5416666666667,-23.125,1,"1"
32.2916666666667,-23.125,1,"1"
47.2916666666667,-23.125,1,"1"
-60.9583333333333,-23.0416666666667,1,"1"
-60.875,-23.0416666666667,1,"1"
32.5416666666667,-23.0416666666667,1,"1"
147.875,-23.0416666666667,1,"1"
-63.2916666666667,-22.9583333333333,1,"1"
-61.625,-22.9583333333333,1,"1"
31.2083333333333,-22.9583333333333,1,"1"
31.9583333333333,-22.9583333333333,1,"1"
33.875,-22.9583333333333,1,"1"
-61.7916666666667,-22.875,1,"1"
32.375,-22.875,1,"1"
120.291666666667,-22.875,1,"1"
-61.4583333333333,-22.7916666666667,1,"1"
31.7916666666667,-22.7916666666667,1,"1"
32.7916666666667,-22.7916666666667,1,"1"
32.9583333333333,-22.7916666666667,1,"1"
35.0416666666667,-22.7916666666667,1,"1"
47.2916666666667,-22.7916666666667,1,"1"
-62.0416666666667,-22.7083333333333,1,"1"
-59.0416666666667,-22.7083333333333,1,"1"
31.7083333333333,-22.7083333333333,1,"1"
31.7916666666667,-22.7083333333333,1,"1"
31.9583333333333,-22.7083333333333,1,"1"
-62.125,-22.625,1,"1"
31.4583333333333,-22.625,1,"1"
-61.2083333333333,-22.5416666666667,1,"1"
